1105,-226.82,-0.00096
2257,-228.85,-7e-05
3392,-170.18,-0.00026
4422,-206.81,-0.00061
5498,-312.69,-0.0005
6545,-171.59,-0.00014
7677,-175.87,-0.00025
8773,-131.66,-0.00046
9854,-196.11,-0.00082
10931,-143.29,-8e-05
12005,-170.6,0.0
13102,-180.6,-0.00029
14170,-160.33,-0.00022
15233,-163.49,-0.00077
16307,-150.44,-0.00053
17442,-180.02,-0.00062
18519,-162.52,-4e-05
19575,-173.85,-9e-05
20686,-149.51,-0.00019
21782,-154.9,-0.00047
22850,-142.11,-0.00033
23946,-130.48,-0.0004
25042,-121.03,-0.00047
26180,-169.35,1e-05
27254,-171.06,-0.00035
28397,-159.54,-0.00112
29519,-117.48,-0.00039
30604,-116.13,-0.00029
31656,-109.8,-0.00047
32710,-106.52,-0.00029
33836,-124.98,-0.00056
34882,-141.91,-0.00054
35948,-163.42,-5e-05
36997,-135.48,-0.00073
38099,-135.32,-0.00015
39169,-124.79,-0.00053
40200,-119.3,-0.00118
41329,-134.23,-0.00085
42361,-102.99,-0.00064
43389,-102.76,-0.00046
44502,-142.02,4e-05
45531,-110.43,-0.00039
46571,-108.02,-0.00028
47602,-91.48,-0.00074
48662,-109.52,-0.00062
49768,-130.25,-5e-05
50855,-122.4,7e-05
51910,-170.41,-0.00069
52989,-131.92,-0.00032
54123,-125.7,-0.0009
55791,-82.75,0.00014
56854,-102.47,0.0
57886,-131.89,-0.00032
58971,-113.61,-0.00017
60019,-121.65,-0.00072
61059,-102.21,9e-05
62108,-116.83,-0.00042
63136,-103.52,-0.00028
64168,-101.85,-0.00022
65240,-142.52,8e-05
66287,-111.27,-6e-05
67389,-116.58,-0.00014
68416,-116.93,-0.00016
69527,-108.52,-0.00021
70612,-99.35,-2e-05
71715,-122.75,-0.0002
72772,-97.85,-0.00029
73821,-96.34,-0.00071
74921,-106.13,-0.00051
76009,-107.37,-0.00071
77133,-97.79,-0.00054
78192,-135.25,-0.00054
79287,-116.59,-5e-05
80352,-96.13,-0.00138
81431,-127.3,0.00055
82559,-129.6,-0.00039
83638,-125.23,-0.00023
84672,-85.82,-0.00035
85751,-105.55,-5e-05
86805,-97.06,-0.00013
87863,-121.19,-0.00017
88903,-106.11,-0.00026
90008,-107.73,-0.0013
91100,-76.32,0.00063
92220,-88.61,-0.00026
93254,-89.94,-0.00018
94311,-128.3,-0.00091
95451,-94.25,-0.00065
96559,-93.04,0.00018
97634,-91.31,-4e-05
98700,-101.32,-0.00033
99755,-97.07,-0.00016
100808,-109.46,-0.00016
101842,-100.17,-0.00063
102917,-81.75,-0.00034
103951,-86.06,-0.00019
105061,-114.56,-0.00177
106089,-104.57,-0.00054
107118,-97.15,-0.002
108174,-102.18,0.00062
109231,-109.09,0.00011
110303,-109.8,-0.00058
111596,-58.72,1e-05
112637,-91.11,-0.00061
113727,-90.09,-0.00025
114781,-89.72,-0.00103
115817,-77.72,1e-04
116909,-89.15,-7e-05
117984,-93.63,-0.00082
119047,-92.23,-0.00018
120101,-82.24,-0.00088
121146,-86.63,-0.00041
122218,-88.86,-0.00042
123304,-69.57,-0.00028
124357,-109.95,-4e-05
125389,-90.97,-0.00089
126494,-86.76,-0.00074
127533,-85.16,-0.00137
