batch_reward,critic_loss,episode,episode_reward,eps,fps,step
0.09027215547394007,0.03987739538448901,9.0,2.0,0.9989998029556634,80.22622294188231,1648
0.18962472231042657,0.014581390391950581,10.0,2.0,0.9716499999999998,62.26726489329707,1868
0.18400855830242469,0.009096103739318287,11.0,1.0,0.9363699999999983,62.319729055881794,2040
0.16727375267789915,0.01001831014545109,12.0,2.0,0.8998300000000004,65.2798975812905,2274
0.1604733670168777,0.008714404667622036,13.0,1.0,0.8613100000000012,56.79633575168882,2468
0.16767391073804946,0.008962722907682168,14.0,4.0,0.8146900000000007,63.643761342046936,2792
0.1542184707698784,0.007521837517000445,15.0,3.0,0.7600600000000001,61.095438986478726,3075
0.15224026956962883,0.007130237993647541,16.0,2.0,0.7149699999999993,63.490841319814294,3293
0.1387721229122456,0.006492888390453993,17.0,2.0,0.675729999999999,61.08902381110818,3511
0.1271813470421985,0.005739053700668003,18.0,2.0,0.6344200000000007,59.18408288545888,3752
0.11205190773807171,0.005012353751931487,19.0,2.0,0.5922999999999993,59.22265245739854,3979
0.11222527132843409,0.004719789182816289,20.0,2.0,0.5513499999999998,64.50337139766737,4207
0.10174481855124555,0.004498439051100724,21.0,0.0,0.5140899999999999,62.20661362036354,4393
0.10126726493350606,0.004027195375172922,22.0,3.0,0.47322999999999993,62.06585574055076,4661
0.10006416634200735,0.004244445278705593,23.0,2.0,0.42795999999999984,60.7332403865415,4896
0.088899558042646,0.003607433139765208,24.0,2.0,0.38719000000000003,61.96665494234412,5114
0.09579701719310464,0.0039012590732684805,25.0,2.0,0.34624000000000005,56.737291030069024,5351
0.08615826262554171,0.003834856540571317,26.0,2.0,0.3052899999999999,61.26016188589144,5569
0.08751277168161206,0.003550746171611301,27.0,2.0,0.26334999999999986,60.553745273001624,5817
0.09133522718309842,0.003648769831513697,28.0,2.0,0.22015000000000007,63.19199327894065,6049
0.08886113854365274,0.0034545443969119976,29.0,2.0,0.17344000000000004,57.313576734682044,6336
0.0921145762699338,0.0034752699004947487,30.0,3.0,0.11973793103448309,61.40529391044947,6655
0.08771283372231214,0.0035516519448317097,31.0,3.0,0.10000000000000049,64.03609909691505,6944
0.09475598370402374,0.0036536019218725746,32.0,7.0,0.10000000000000081,64.2932251991137,7384
